Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio
S2,EMATent,0.0028183097019791603,0.0028183097019791603,0.9997941255569458,0,0.49915450708940623,0.5,0.0008454929105937481,0.0,0.0,7,64,64,1.0,1.0,1,,
S2,EMATent,4.674042065744288e-05,4.674042065744288e-05,0.9999976754188538,0,0.4999859778738028,0.5,1.4022126197232864e-05,0.0,0.0,8,64,64,1.0,1.0,1,,
S2,EMATent,3.661673326860182e-05,3.661673326860182e-05,0.9999982118606567,0,0.4999890149800194,0.5,1.0985019980580545e-05,0.0,0.0,9,2,2,1.0,1.0,1,,
S3,EMATent,0.0004428245883900672,0.0004428245883900672,0.9999734163284302,0,0.49986715262348297,0.5,0.00013284737651702016,0.0,0.0,0,64,64,1.0,1.0,1,,
S3,EMATent,8.313735452247784e-05,8.313735452247784e-05,0.9999957084655762,0,0.49997505879364323,0.5,2.494120635674335e-05,0.0,0.0,1,64,64,1.0,1.0,1,,
S3,EMATent,0.0002983975282404572,0.0002983975282404572,0.9999827146530151,0,0.4999104807415279,0.5,8.951925847213715e-05,0.0,0.0,2,64,64,1.0,1.0,1,,
S3,EMATent,0.9877015948295593,0.9877015948295593,0.9972360134124756,1,0.2036895215511322,0.5,0.29631047844886776,0.0,0.0,3,64,36,0.5625,0.5625,2,28.0,0.4375
S3,EMATent,0.7309088110923767,0.7309088110923767,0.9167290925979614,1,0.280727356672287,0.5,0.219272643327713,0.0,0.0,4,64,0,0.0,1.0,1,64.0,1.0
S3,EMATent,0.9987528920173645,0.9987528920173645,0.9309095740318298,1,0.20037413239479065,0.5,0.2996258676052093,0.0,0.0,5,64,28,0.4375,0.5625,2,36.0,0.5625
S3,EMATent,0.009188925847411156,0.009188925847411156,0.9992189407348633,0,0.49724332224577666,0.5,0.0027566777542233464,0.0,0.0,6,64,64,1.0,1.0,1,,
S3,EMATent,0.9448851346969604,0.9448851346969604,0.9743871688842773,1,0.2165344595909119,0.5,0.2834655404090881,0.0,0.0,7,64,64,1.0,1.0,1,,
S3,EMATent,0.00034343634615652263,0.00034343634615652263,0.9999798536300659,0,0.49989696909615305,0.5,0.00010303090384695679,0.0,0.0,8,64,64,1.0,1.0,1,,
S3,EMATent,0.00011008995352312922,0.00011008995352312922,0.9999942183494568,0,0.49996697301394305,0.5,3.302698605693876e-05,0.0,0.0,9,11,11,1.0,1.0,1,,
S4,EMATent,0.00037560315104201436,0.00037560315104201436,0.9999778270721436,0,0.4998873190546874,0.5,0.0001126809453126043,0.0,0.0,0,64,64,1.0,1.0,1,,
S4,EMATent,0.0023038180079311132,0.0023038180079311132,0.9998356103897095,0,0.49930885459762064,0.5,0.000691145402379334,0.0,0.0,1,64,64,1.0,1.0,1,,
S4,EMATent,0.3437677323818207,0.3437677323818207,0.9559139013290405,1,0.3968696802854538,0.5,0.1031303197145462,0.0,0.0,2,64,64,1.0,1.0,1,,
S4,EMATent,0.7418720722198486,0.7418720722198486,0.9140902757644653,1,0.2774383783340454,0.5,0.22256162166595458,0.0,0.0,3,64,64,1.0,1.0,1,,
S4,EMATent,0.005950929597020149,0.005950929597020149,0.9995229840278625,0,0.49821472112089393,0.5,0.0017852788791060446,0.0,0.0,4,64,64,1.0,1.0,1,,
S4,EMATent,0.005253390874713659,0.005253390874713659,0.9995856285095215,0,0.4984239827375859,0.5,0.0015760172624140977,0.0,0.0,5,64,64,1.0,1.0,1,,
S4,EMATent,0.414201557636261,0.414201557636261,0.9945656061172485,1,0.37573953270912175,0.5,0.1242604672908783,0.0,0.0,6,64,5,0.078125,0.921875,2,59.0,0.921875
S4,EMATent,0.00016697173123247921,0.00016697173123247921,0.9999907612800598,0,0.49994990848063026,0.5,5.0091519369743764e-05,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S4,EMATent,0.35095059871673584,0.35095059871673584,0.996464729309082,1,0.3947148203849793,0.5,0.10528517961502075,0.0,0.0,8,64,60,0.9375,0.9375,2,4.0,0.0625
S4,EMATent,0.19649004936218262,0.19649004936218262,0.9802058339118958,0,0.4410529851913452,0.5,0.05894701480865478,0.0,0.0,9,20,20,1.0,1.0,1,,
S5,EMATent,0.0026835582684725523,0.0026835582684725523,0.9998050928115845,0,0.49919493251945823,0.5,0.0008050674805417657,0.0,0.0,0,64,64,1.0,1.0,1,,
S5,EMATent,0.0005147556075826287,0.0005147556075826287,0.9999686479568481,0,0.4998455733177252,0.5,0.0001544266822747886,0.0,0.0,1,64,64,1.0,1.0,1,,
